datetime,temp,humidity,precip,snow,pressure,preciptype,conditions,description
2023-06-07,17.4,56.0,0.467,0.0,1016.3,rain,Rain,Clear conditions throughout the day with late afternoon rain.
2023-06-08,18.7,50.9,1.869,0.0,1017.3,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-06-09,18.7,46.1,0.049,0.0,1017.3,rain,Rain,Clear conditions throughout the day with afternoon rain.
2023-06-10,17.3,52.5,0.0,0.0,1016.6,,Clear,Clear conditions throughout the day.
2023-06-11,14.4,75.7,0.033,0.0,1019.7,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-06-12,13.5,86.3,2.224,0.0,1017.5,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-06-13,13.2,84.5,2.866,0.0,1016.6,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
2023-06-14,17.4,54.3,0.0,0.0,1013.0,,Clear,Clear conditions throughout the day.
2023-06-15,16.7,63.5,3.225,0.0,1013.0,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-06-16,12.8,93.0,17.699,0.0,1020.7,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-06-17,15.4,65.0,0.04,0.0,1017.9,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
2023-06-18,20.0,41.3,0.0,0.0,1012.1,,Clear,Clear conditions throughout the day.
2023-06-19,24.2,29.8,0.0,0.0,1010.6,,Clear,Clear conditions throughout the day.
2023-06-20,22.0,35.6,0.0,0.0,1014.8,,Clear,Clear conditions throughout the day.
2023-06-21,20.0,57.9,3.515,0.0,1018.6,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-06-22,18.8,74.1,2.093,0.0,1019.3,rain,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.
2023-06-23,20.1,66.6,0.0,0.0,1014.5,,Partially cloudy,Partly cloudy throughout the day.
